Song,Artist,Release,Style,Value
like a rolling stone,bob dylan,20-Jul-1965,Key,C
respect,aretha franklin,10-Mar-1967,Key,C
smells like teen spirit,nirvana,27-Aug-1991,Key,C#
a change is gonna come,sam cooke,22-Dec-1964,Key,Bb
imagine,john lennon,9-Sep-1971,Key,C
i want to hold your hand,beatles,29-Nov-1963,Key,G
satisfaction,rolling stones,5-Jun-1965 ,Key,D
god only knows,beach boys,18-Jul-1966,Key,F#m
johnny b goode,chuck berry,31-Mar-1958,Key,Bb
be my baby,ronettes,1-Aug-1963,Key,E
born to run,bruce springsteen,25-Aug-1975,Key,E
a day in the life,beatles,26-May-1967,Key,Em
waterloo sunset,kinks,5-May-1967,Key,C#m
good vibrations,beach boys,10-Oct-1966,Key,Bbm
heroes,david bowie,14-Oct-1977,Key,G
strawberry fields forever,beatles,13-Feb-1967,Key,Bb
yesterday,beatles,6-Aug-1965,Key,F
superstition,stevie wonder,24-Oct-1972,Key,C#
all along the watchtower,jimi hendrix,22-Nov-1968,Key,Ab
when doves cry,prince,16-May-1984,Key,Am
like a rolling stone,bob dylan,20-Jul-1965,BPM,95
respect,aretha franklin,10-Mar-1967,BPM,115
smells like teen spirit,nirvana,27-Aug-1991,BPM,117
a change is gonna come,sam cooke,22-Dec-1964,BPM,174
imagine,john lennon,9-Sep-1971,BPM,76
i want to hold your hand,beatles,29-Nov-1963,BPM,131
satisfaction,rolling stones,5-Jun-1965 ,BPM,136
god only knows,beach boys,18-Jul-1966,BPM,117
johnny b goode,chuck berry,31-Mar-1958,BPM,168
be my baby,ronettes,1-Aug-1963,BPM,130
born to run,bruce springsteen,25-Aug-1975,BPM,146
a day in the life,beatles,26-May-1967,BPM,163
waterloo sunset,kinks,5-May-1967,BPM,108
good vibrations,beach boys,10-Oct-1966,BPM,133
heroes,david bowie,14-Oct-1977,BPM,112
strawberry fields forever,beatles,13-Feb-1967,BPM,98
yesterday,beatles,6-Aug-1965,BPM,97
superstition,stevie wonder,24-Oct-1972,BPM,101
all along the watchtower,jimi hendrix,22-Nov-1968,BPM,113
when doves cry,prince,16-May-1984,BPM,126
